Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
640000,850,72,2,2,1,1,1,0,0,0,Brooklin/São Paulo,sale,apartment,-23.612967,-46.683731
1000000,1500,121,3,4,1,3,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.610485,-46.681161
847000,1020,83,3,3,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.619701,-46.678965
750000,950,94,3,4,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.612298,-46.681999
954000,1180,100,3,4,3,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624773,-46.689663
1180000,0,125,3,4,3,2,1,0,1,1,Brooklin/São Paulo,sale,apartment,-23.624773,-46.689663
2790000,1650,225,4,4,3,4,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614144,-46.688294
555000,492,41,1,2,1,1,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614331,-46.686158
440000,450,34,1,2,1,1,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.61244,-46.68121
847000,1020,83,3,3,1,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.624752,-46.683948
1340000,1050,105,2,3,2,2,1,0,1,0,Brooklin/São Paulo,sale,apartment,-23.614441,-46.686832
1100000,1700,92,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.601284,-46.678802
1400000,800,83,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599474,-46.675614
1650000,1500,136,2,5,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599257,-46.679927
1195000,700,76,2,2,1,2,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.598468,-46.679859
1200000,840,96,3,3,1,2,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598272,-46.675348
1950000,1500,111,3,4,1,2,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.59433,-46.688316
3700000,2100,210,4,7,3,3,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.600786,-46.680126
1100000,786,94,3,2,1,1,0,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.592874,-46.685373
1155805,0,82,2,3,2,2,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596742,-46.674286
780000,0,85,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596107,-46.675538
1485000,1058,127,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.600103,-46.675411
2400000,1600,138,3,5,3,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.594329,-46.688316
1950000,500,136,3,5,3,3,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598966,-46.688512
807000,1488,105,3,3,1,1,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.595104,-46.676923
2650000,0,206,4,1,4,3,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.600556,-46.674643
1162756,0,95,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.604074,-46.675494
1600000,0,112,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.604197,-46.678332
775000,937,98,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.602791,-46.675565
8000000,0,278,4,5,3,5,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587
350000,972,33,1,2,1,1,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.592855,-46.687697
8039200,0,278,4,7,4,4,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596469,-46.680587
590000,500,51,1,2,1,1,0,1,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596689,-46.67789
590000,500,51,1,2,1,1,0,1,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.596689,-46.67789
1360000,0,115,3,4,3,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598468,-46.679859
1780000,2500,164,4,4,3,3,1,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.598769,-46.679415
1106996,0,48,1,2,1,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.596525,-46.679154
1053000,1729,60,2,2,1,1,0,1,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.593963,-46.688757
1250000,729,81,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.599474,-46.675614
610000,761,53,1,2,1,1,1,0,0,0,Vila Olimpia/São Paulo,sale,apartment,-23.5989,-46.681596
1297500,950,173,4,4,3,3,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5598941,-46.6042432
2180000,1500,221,4,4,3,4,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5509876,-46.5909082
940000,0,112,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.561876297,-46.6012077332
900000,800,120,3,3,2,3,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5655354,-46.6018887
880000,650,102,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5485189,-46.5945998
970000,701,126,3,4,3,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5491967,-46.595386
699000,850,89,3,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5618983,-46.5780838
635000,920,98,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505
915000,756,30,3,1,0,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5582057,-46.595508
550000,780,80,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505
365000,900,51,1,1,0,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5578196,-46.6068783
423500,950,90,3,2,0,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5608424,-46.59463
